,Project,HoleID,From,To,SG,Code,Lith,Geol
0,﻿UpperCanada,UC12_458,350.22,351.13,2.7,S3,Greywacke,Sediments
1,UpperCanada,UC12_458,351.13,352.04,2.75,S3,Greywacke,Sediments
2,UpperCanada,UC12_458,352.04,352.96,2.69,S3,Greywacke,Sediments
3,UpperCanada,UC12_458,352.96,353.87,2.72,S3,Greywacke,Sediments
4,UpperCanada,UC12_458,353.87,354.79,2.69,S3,Greywacke,Sediments
5,UpperCanada,UC12_458,354.79,355.7,2.69,S3,Greywacke,Sediments
6,UpperCanada,UC12_458,361.19,362.1,2.7,S3,Greywacke,Sediments
7,UpperCanada,UC12_458,362.1,363.02,2.73,S3,Greywacke,Sediments
8,UpperCanada,UC12_458,363.02,363.93,2.7,S3,Greywacke,Sediments
9,UpperCanada,UC12_458,355.7,356.62,2.76,S3,Greywacke,Sediments
10,UpperCanada,UC12_458,356.62,357.53,2.76,S3,Greywacke,Sediments
11,UpperCanada,UC12_458,357.53,358.44,2.67,S3,Greywacke,Sediments
12,UpperCanada,UC12_458,358.44,359.36,2.63,S3,Greywacke,Sediments
13,UpperCanada,UC12_458,359.36,360.27,2.72,S3,Greywacke,Sediments
14,UpperCanada,UC12_458,360.27,361.19,2.68,S3,Greywacke,Sediments
15,UpperCanada,UC12_458,366.67,367.59,2.67,V4p,Trachyte porphyrytic,Trachyte
16,UpperCanada,UC12_458,364.85,365.76,2.7,V4p,Trachyte porphyrytic,Trachyte
17,UpperCanada,UC12_458,365.76,366.67,2.67,V4p,Trachyte porphyrytic,Trachyte
18,UpperCanada,UC12_458,367.59,368.5,2.71,V4aggla,Trachyte agglomerate altered,Trachyte
19,UpperCanada,UC12_458,368.5,369.42,2.62,V4aggla,Trachyte agglomerate altered,Trachyte
20,UpperCanada,UC12_458,369.42,370.33,2.74,V4aggla,Trachyte agglomerate altered,Trachyte
21,UpperCanada,UC12_458,370.33,371.25,2.7,V4aggla,Trachyte agglomerate altered,Trachyte
22,UpperCanada,UC12_458,371.25,372.16,2.76,V4aggla,Trachyte agglomerate altered,Trachyte
23,UpperCanada,UC12_458,373.08,373.99,2.64,V4p,Trachyte porphyrytic,Trachyte
24,UpperCanada,UC12_458,373.99,374.9,2.67,V4p,Trachyte porphyrytic,Trachyte
25,UpperCanada,UC12_458,374.9,375.82,2.69,V4p,Trachyte porphyrytic,Trachyte
26,UpperCanada,UC12_458,375.82,376.73,2.8,V4p,Trachyte porphyrytic,Trachyte
27,UpperCanada,UC12_458,383.13,384.05,2.82,V4MTl,Trachyte mafic tuff lapilli,Trachyte
28,UpperCanada,UC12_458,377.65,378.56,2.86,V4MTl,Trachyte mafic tuff lapilli,Trachyte
29,UpperCanada,UC12_458,378.56,379.48,2.84,V4MTl,Trachyte mafic tuff lapilli,Trachyte
30,UpperCanada,UC12_458,379.48,380.39,2.85,V4MTl,Trachyte mafic tuff lapilli,Trachyte
31,UpperCanada,UC12_458,380.39,381.3,2.85,V4MTl,Trachyte mafic tuff lapilli,Trachyte
32,UpperCanada,UC12_458,381.3,382.22,2.82,V4MTl,Trachyte mafic tuff lapilli,Trachyte
33,UpperCanada,UC12_458,382.22,383.13,2.83,V4MTl,Trachyte mafic tuff lapilli,Trachyte
34,UpperCanada,UC12_458,394.11,395.02,2.75,V4MTl,Trachyte mafic tuff lapilli,Trachyte
35,UpperCanada,UC12_458,395.02,395.94,2.81,V4MTl,Trachyte mafic tuff lapilli,Trachyte
36,UpperCanada,UC12_458,395.94,396.85,2.83,V4MTl,Trachyte mafic tuff lapilli,Trachyte
37,UpperCanada,UC12_458,396.85,397.76,2.83,V4MTl,Trachyte mafic tuff lapilli,Trachyte
38,UpperCanada,UC12_458,397.76,398.68,2.79,V4MTl,Trachyte mafic tuff lapilli,Trachyte
39,UpperCanada,UC12_458,388.62,389.53,2.84,V4MTl,Trachyte mafic tuff lapilli,Trachyte
40,UpperCanada,UC12_458,389.53,390.45,2.9,V4MTl,Trachyte mafic tuff lapilli,Trachyte
41,UpperCanada,UC12_458,390.45,391.36,2.85,V4MTl,Trachyte mafic tuff lapilli,Trachyte
42,UpperCanada,UC12_458,391.36,392.28,2.83,V4MTl,Trachyte mafic tuff lapilli,Trachyte
43,UpperCanada,UC12_458,392.28,393.19,2.77,V4MTl,Trachyte mafic tuff lapilli,Trachyte
44,UpperCanada,UC12_458,393.19,394.11,2.73,V4MTl,Trachyte mafic tuff lapilli,Trachyte
45,UpperCanada,UC12_458,384.96,385.88,2.84,V4MTl,Trachyte mafic tuff lapilli,Trachyte
46,UpperCanada,UC12_458,385.88,386.79,2.75,V4MTl,Trachyte mafic tuff lapilli,Trachyte
47,UpperCanada,UC12_458,386.79,387.71,2.94,V4MTl,Trachyte mafic tuff lapilli,Trachyte
48,UpperCanada,UC12_458,387.71,388.62,2.77,V4MTl,Trachyte mafic tuff lapilli,Trachyte
49,UpperCanada,UC12_458,410.57,411.48,2.7,1SV4,Trachytic syenite,Syenite
50,UpperCanada,UC12_458,411.48,412.39,2.7,1SV4,Trachytic syenite,Syenite
51,UpperCanada,UC12_458,412.39,413.31,2.68,1SV4,Trachytic syenite,Syenite
52,UpperCanada,UC12_458,413.31,414.22,2.68,1SV4,Trachytic syenite,Syenite
53,UpperCanada,UC12_458,414.22,415.14,2.69,1SV4,Trachytic syenite,Syenite
54,UpperCanada,UC12_458,415.14,416.05,2.79,1SV4,Trachytic syenite,Syenite
55,UpperCanada,UC12_458,405.08,405.99,2.75,1SV4,Trachytic syenite,Syenite
56,UpperCanada,UC12_458,405.99,406.91,2.76,1SV4,Trachytic syenite,Syenite
57,UpperCanada,UC12_458,406.91,407.82,2.69,1SV4,Trachytic syenite,Syenite
58,UpperCanada,UC12_458,407.82,408.74,2.74,1SV4,Trachytic syenite,Syenite
59,UpperCanada,UC12_458,408.74,409.65,2.69,1SV4,Trachytic syenite,Syenite
60,UpperCanada,UC12_458,409.65,410.57,2.71,1SV4,Trachytic syenite,Syenite
61,UpperCanada,UC12_458,399.59,400.51,2.76,1SV4,Trachytic syenite,Syenite
62,UpperCanada,UC12_458,400.51,401.42,2.83,1SV4,Trachytic syenite,Syenite
63,UpperCanada,UC12_458,401.42,402.34,2.78,1SV4,Trachytic syenite,Syenite
64,UpperCanada,UC12_458,402.34,403.25,2.76,1SV4,Trachytic syenite,Syenite
65,UpperCanada,UC12_458,403.25,404.16,2.77,1SV4,Trachytic syenite,Syenite
66,UpperCanada,UC12_458,404.16,405.08,2.81,1SV4,Trachytic syenite,Syenite
67,UpperCanada,UC12_458,398.68,399.59,2.76,1SV4,Trachytic syenite,Syenite
68,UpperCanada,UC12_458,416.97,417.88,2.85,V4Ta,Trachytic tuff altered,Trachyte
69,UpperCanada,UC12_458,417.88,418.8,2.89,V4Ta,Trachytic tuff altered,Trachyte
70,UpperCanada,UC12_458,419.71,420.62,2.72,1Sa,Altered Syenite,Syenite
71,UpperCanada,UC12_458,420.62,421.54,2.73,1Sa,Altered Syenite,Syenite
72,UpperCanada,UC12_458,427.02,427.94,2.74,V4Ta,Trachytic tuff altered,Trachyte
73,UpperCanada,UC12_458,422.45,423.37,2.7,V4Ta,Trachytic tuff altered,Trachyte
74,UpperCanada,UC12_458,423.37,424.28,2.87,V4Ta,Trachytic tuff altered,Trachyte
75,UpperCanada,UC12_458,424.28,425.2,2.75,V4Ta,Trachytic tuff altered,Trachyte
76,UpperCanada,UC12_458,425.2,426.11,2.69,V4Ta,Trachytic tuff altered,Trachyte
77,UpperCanada,UC12_458,426.11,427.02,2.81,V4Ta,Trachytic tuff altered,Trachyte
78,UpperCanada,UC12_458,427.94,428.85,2.64,1Sa,Altered Syenite,Syenite
79,UpperCanada,UC12_458,429.77,430.68,2.82,V4Ta,Trachytic tuff altered,Trachyte
80,UpperCanada,UC12_458,431.6,432.51,2.91,V4Ta,Trachytic tuff altered,Trachyte
81,UpperCanada,UC12_458,433.43,434.34,2.77,1Sa,Altered Syenite,Syenite
82,UpperCanada,UC12_458,435.25,436.17,2.74,V4Ta,Trachytic tuff altered,Trachyte
83,UpperCanada,UC12_458,436.17,437.08,2.8,V4Ta,Trachytic tuff altered,Trachyte
84,UpperCanada,UC12_458,438.0,438.91,2.9,3D,Diabase,Diabase
85,UpperCanada,UC12_460,226.16,227.08,2.81,S3a,Wacke Altered,Sediments
86,UpperCanada,UC12_460,227.08,227.99,2.82,S3a,Wacke Altered,Sediments
87,UpperCanada,UC12_460,227.99,228.9,2.82,S3a,Wacke Altered,Sediments
88,UpperCanada,UC12_460,220.68,221.59,2.79,S3a,Wacke Altered,Sediments
89,UpperCanada,UC12_460,221.59,222.5,2.86,S3a,Wacke Altered,Sediments
90,UpperCanada,UC12_460,222.5,223.42,2.81,S3a,Wacke Altered,Sediments
91,UpperCanada,UC12_460,223.42,224.33,2.83,S3a,Wacke Altered,Sediments
92,UpperCanada,UC12_460,224.33,225.25,2.81,S3a,Wacke Altered,Sediments
93,UpperCanada,UC12_460,225.25,226.16,2.82,S3a,Wacke Altered,Sediments
94,UpperCanada,UC12_460,215.19,216.1,2.81,S3a,Wacke Altered,Sediments
95,UpperCanada,UC12_460,216.1,217.02,2.82,S3a,Wacke Altered,Sediments
96,UpperCanada,UC12_460,217.02,217.93,2.78,S3a,Wacke Altered,Sediments
97,UpperCanada,UC12_460,217.93,218.85,2.77,S3a,Wacke Altered,Sediments
98,UpperCanada,UC12_460,218.85,219.76,2.78,S3a,Wacke Altered,Sediments
99,UpperCanada,UC12_460,219.76,220.68,2.77,S3a,Wacke Altered,Sediments
100,UpperCanada,UC12_460,213.36,214.27,2.78,S3a,Wacke Altered,Sediments
101,UpperCanada,UC12_460,214.27,215.19,2.81,S3a,Wacke Altered,Sediments
102,UpperCanada,UC12_460,231.65,232.56,2.72,S3a,Wacke Altered,Sediments
103,UpperCanada,UC12_460,232.56,233.48,2.75,S3a,Wacke Altered,Sediments
104,UpperCanada,UC12_460,233.48,234.39,2.8,S3a,Wacke Altered,Sediments
105,UpperCanada,UC12_460,230.73,231.65,2.73,S3a,Wacke Altered,Sediments
106,UpperCanada,UC12_460,234.39,235.31,2.89,QCVZ,Quartz Carbonate Vein Zone,Veins
107,UpperCanada,UC12_460,235.31,236.22,2.74,QCVZ,Quartz Carbonate Vein Zone,Veins
108,UpperCanada,UC12_460,237.13,238.05,2.77,S3,Greywacke,Sediments
109,UpperCanada,UC12_460,238.05,238.96,2.78,S3,Greywacke,Sediments
110,UpperCanada,UC12_462,204.22,205.13,2.74,V4Ma,Trachyte mafic altered,Trachyte
111,UpperCanada,UC12_462,205.13,206.04,2.74,V4Ma,Trachyte mafic altered,Trachyte
112,UpperCanada,UC12_462,206.96,207.87,2.8,V4Ma,Trachyte mafic altered,Trachyte
113,UpperCanada,UC12_462,207.87,208.79,2.79,V4Ma,Trachyte mafic altered,Trachyte
114,UpperCanada,UC12_462,208.79,209.7,2.77,V4Ma,Trachyte mafic altered,Trachyte
115,UpperCanada,UC12_462,209.7,210.62,2.83,V4Ma,Trachyte mafic altered,Trachyte
116,UpperCanada,UC12_462,210.62,211.53,2.86,V4Ma,Trachyte mafic altered,Trachyte
117,UpperCanada,UC12_462,211.53,212.45,2.78,V4Ma,Trachyte mafic altered,Trachyte
118,UpperCanada,UC12_462,212.45,213.36,2.81,V4Ma,Trachyte mafic altered,Trachyte
119,UpperCanada,UC12_462,213.36,214.27,2.85,V4Ma,Trachyte mafic altered,Trachyte
120,UpperCanada,UC12_462,215.19,216.1,2.59,BBC,Broken Blocky Core,Fault Zone
121,UpperCanada,UC12_462,216.1,217.02,2.69,BBC,Broken Blocky Core,Fault Zone
122,UpperCanada,UC12_462,217.02,217.93,2.55,BBC,Broken Blocky Core,Fault Zone
123,UpperCanada,UC12_462,230.73,231.65,2.7,V4Ma,Trachyte mafic altered,Trachyte
124,UpperCanada,UC12_462,225.25,226.16,2.81,V4Ma,Trachyte mafic altered,Trachyte
125,UpperCanada,UC12_462,226.16,227.08,2.81,V4Ma,Trachyte mafic altered,Trachyte
126,UpperCanada,UC12_462,227.08,227.99,2.82,V4Ma,Trachyte mafic altered,Trachyte
127,UpperCanada,UC12_462,227.99,228.9,2.78,V4Ma,Trachyte mafic altered,Trachyte
128,UpperCanada,UC12_462,228.9,229.82,2.7,V4Ma,Trachyte mafic altered,Trachyte
129,UpperCanada,UC12_462,229.82,230.73,2.69,V4Ma,Trachyte mafic altered,Trachyte
130,UpperCanada,UC12_462,219.76,220.68,2.79,V4Ma,Trachyte mafic altered,Trachyte
131,UpperCanada,UC12_462,220.68,221.59,2.81,V4Ma,Trachyte mafic altered,Trachyte
132,UpperCanada,UC12_462,221.59,222.5,2.82,V4Ma,Trachyte mafic altered,Trachyte
133,UpperCanada,UC12_462,222.5,223.42,2.8,V4Ma,Trachyte mafic altered,Trachyte
134,UpperCanada,UC12_462,223.42,224.33,2.82,V4Ma,Trachyte mafic altered,Trachyte
135,UpperCanada,UC12_462,224.33,225.25,2.78,V4Ma,Trachyte mafic altered,Trachyte
136,UpperCanada,UC12_462,218.85,219.76,2.78,V4Ma,Trachyte mafic altered,Trachyte
137,UpperCanada,UC12_462,236.22,237.13,2.67,1Spa,Altered Syenite Porphyry,Syenite
138,UpperCanada,UC12_462,237.13,238.05,2.67,1Spa,Altered Syenite Porphyry,Syenite
139,UpperCanada,UC12_462,232.56,233.48,2.68,1Spa,Altered Syenite Porphyry,Syenite
140,UpperCanada,UC12_462,233.48,234.39,2.7,1Spa,Altered Syenite Porphyry,Syenite
141,UpperCanada,UC12_462,234.39,235.31,2.69,1Spa,Altered Syenite Porphyry,Syenite
142,UpperCanada,UC12_462,235.31,236.22,2.67,1Spa,Altered Syenite Porphyry,Syenite
143,UpperCanada,UC12_462,252.68,253.59,2.79,V4Ma,Trachyte mafic altered,Trachyte
144,UpperCanada,UC12_462,253.59,254.51,2.78,V4Ma,Trachyte mafic altered,Trachyte
145,UpperCanada,UC12_462,254.51,255.42,2.78,V4Ma,Trachyte mafic altered,Trachyte
146,UpperCanada,UC12_462,255.42,256.12,2.79,V4Ma,Trachyte mafic altered,Trachyte
147,UpperCanada,UC12_462,247.19,248.11,2.7,V4Ma,Trachyte mafic altered,Trachyte
148,UpperCanada,UC12_462,248.11,249.02,2.79,V4Ma,Trachyte mafic altered,Trachyte
149,UpperCanada,UC12_462,249.02,249.94,2.79,V4Ma,Trachyte mafic altered,Trachyte
150,UpperCanada,UC12_462,249.94,250.85,2.84,V4Ma,Trachyte mafic altered,Trachyte
151,UpperCanada,UC12_462,250.85,251.76,2.78,V4Ma,Trachyte mafic altered,Trachyte
152,UpperCanada,UC12_462,251.76,252.68,2.82,V4Ma,Trachyte mafic altered,Trachyte
153,UpperCanada,UC12_462,241.71,242.62,2.66,V4Ma,Trachyte mafic altered,Trachyte
154,UpperCanada,UC12_462,242.62,243.54,2.65,V4Ma,Trachyte mafic altered,Trachyte
155,UpperCanada,UC12_462,243.54,244.45,2.68,V4Ma,Trachyte mafic altered,Trachyte
156,UpperCanada,UC12_462,244.45,245.36,2.72,V4Ma,Trachyte mafic altered,Trachyte
157,UpperCanada,UC12_462,245.36,246.28,2.72,V4Ma,Trachyte mafic altered,Trachyte
